model,lambda,mu,servers,rho,stable,L,Lq,W,Wq,P0,Pwait,N,M,R
M/M/1,2.0,1.0,1,2.0,False,inf,inf,inf,inf,0.0,1.0,100,50,1
M/M/S,2.0,1.0,1,2.0,False,inf,inf,inf,inf,0.0,1.0,100,50,1
M/M/S,2.0,1.0,2,1.0,False,inf,inf,inf,inf,0.0,1.0,100,50,1
M/M/S,2.0,1.0,4,0.5,True,2.1739130434782608,0.17391304347826086,1.0869565217391304,0.08695652173913043,0.13043478260869565,0.17391304347826086,100,50,1
M/M/S,2.0,1.0,8,0.25,True,2.000381879803332,0.00038187980333190133,1.000190939901666,0.00019093990166595067,0.13532865530574253,0.001145639409995704,100,50,1
M/M/1,2.0,5.0,1,0.4,True,0.6666666666666667,0.2666666666666667,0.3333333333333333,0.13333333333333333,0.6,0.4,100,50,5
M/M/S,2.0,5.0,1,0.4,True,0.6666666666666667,0.2666666666666667,0.3333333333333333,0.13333333333333333,0.6,0.4,100,50,5
M/M/S,2.0,5.0,2,0.2,True,0.4166666666666667,0.01666666666666667,0.20833333333333334,0.008333333333333335,0.6666666666666666,0.06666666666666668,100,50,5
M/M/S,2.0,5.0,4,0.1,True,0.40008827099194527,8.827099194527201e-05,0.20004413549597264,4.4135495972636005e-05,0.6703078450844091,0.000794438927507448,100,50,5
M/M/S,2.0,5.0,8,0.05,True,0.4000000006036211,6.036210940448153e-10,0.20000000030181056,3.0181054702240765e-10,0.6703200459893177,1.146880078685149e-08,100,50,5
M/M/1,2.0,10.0,1,0.2,True,0.25,0.05000000000000001,0.125,0.025,0.8,0.2,100,50,10
M/M/S,2.0,10.0,1,0.2,True,0.25,0.05000000000000001,0.125,0.025,0.8,0.2,100,50,10
M/M/S,2.0,10.0,2,0.1,True,0.20202020202020204,0.002020202020202021,0.10101010101010102,0.0010101010101010105,0.8181818181818182,0.018181818181818188,100,50,10
M/M/S,2.0,10.0,4,0.05,True,0.2000030239344411,3.023934441101318e-06,0.10000151196722055,1.511967220550659e-06,0.8187302499281814,5.745475438092503e-05,100,50,10
M/M/S,2.0,10.0,8,0.025,True,0.20000000000136708,1.367071793749486e-12,0.10000000000068354,6.83535896874743e-13,0.8187307530778556,5.3315799956229947e-11,100,50,10
M/M/1,1.0,1.0,1,1.0,False,inf,inf,inf,inf,0.0,1.0,100,100,1
M/M/S,1.0,1.0,1,1.0,False,inf,inf,inf,inf,0.0,1.0,100,100,1
M/M/S,1.0,1.0,2,0.5,True,1.3333333333333333,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,100,100,1
M/M/S,1.0,1.0,4,0.25,True,1.0068027210884354,0.006802721088435374,1.0068027210884354,0.006802721088435374,0.3673469387755102,0.02040816326530612,100,100,1
M/M/S,1.0,1.0,8,0.125,True,1.0000014896314204,1.4896314204976263e-06,1.0000014896314204,1.4896314204976263e-06,0.3678793756060938,1.0427419943483384e-05,100,100,1
M/M/1,1.0,5.0,1,0.2,True,0.25,0.05000000000000001,0.25,0.05,0.8,0.2,100,100,5
M/M/S,1.0,5.0,1,0.2,True,0.25,0.05000000000000001,0.25,0.05,0.8,0.2,100,100,5
M/M/S,1.0,5.0,2,0.1,True,0.20202020202020204,0.002020202020202021,0.20202020202020204,0.002020202020202021,0.8181818181818182,0.018181818181818188,100,100,5
M/M/S,1.0,5.0,4,0.05,True,0.2000030239344411,3.023934441101318e-06,0.2000030239344411,3.023934441101318e-06,0.8187302499281814,5.745475438092503e-05,100,100,5
M/M/S,1.0,5.0,8,0.025,True,0.20000000000136708,1.367071793749486e-12,0.20000000000136708,1.367071793749486e-12,0.8187307530778556,5.3315799956229947e-11,100,100,5
M/M/1,1.0,10.0,1,0.1,True,0.11111111111111112,0.011111111111111113,0.1111111111111111,0.011111111111111112,0.9,0.1,100,100,10
M/M/S,1.0,10.0,1,0.1,True,0.11111111111111112,0.011111111111111113,0.1111111111111111,0.011111111111111112,0.9,0.1,100,100,10
M/M/S,1.0,10.0,2,0.05,True,0.10025062656641605,0.0002506265664160402,0.10025062656641605,0.0002506265664160402,0.9047619047619047,0.004761904761904763,100,100,10
M/M/S,1.0,10.0,4,0.025,True,0.10000009914939732,9.914939732038842e-08,0.10000009914939732,9.914939732038842e-08,0.9048373999458644,3.866826495495148e-06,100,100,10
M/M/S,1.0,10.0,8,0.0125,True,0.10000000000000288,2.8766421044270726e-15,0.10000000000000288,2.8766421044270726e-15,0.9048374180359593,2.2725472624973873e-13,100,100,10
M/M/1,0.5,1.0,1,0.5,True,1.0,0.5,2.0,1.0,0.5,0.5,100,200,1
M/M/S,0.5,1.0,1,0.5,True,1.0,0.5,2.0,1.0,0.5,0.5,100,200,1
M/M/S,0.5,1.0,2,0.25,True,0.5333333333333333,0.03333333333333333,1.0666666666666667,0.06666666666666667,0.6,0.09999999999999999,100,200,1
M/M/S,0.5,1.0,4,0.125,True,0.5002578648788035,0.00025786487880350697,1.000515729757607,0.0005157297576070139,0.6064981949458484,0.0018050541516245488,100,200,1
M/M/S,0.5,1.0,8,0.0625,True,0.5000000041785897,4.17858975019513e-09,1.0000000083571794,8.35717950039026e-09,0.6065306594203235,6.267884625292695e-08,100,200,1
M/M/1,0.5,5.0,1,0.1,True,0.11111111111111112,0.011111111111111113,0.2222222222222222,0.022222222222222223,0.9,0.1,100,200,5
M/M/S,0.5,5.0,1,0.1,True,0.11111111111111112,0.011111111111111113,0.2222222222222222,0.022222222222222223,0.9,0.1,100,200,5
M/M/S,0.5,5.0,2,0.05,True,0.10025062656641605,0.0002506265664160402,0.2005012531328321,0.0005012531328320804,0.9047619047619047,0.004761904761904763,100,200,5
M/M/S,0.5,5.0,4,0.025,True,0.10000009914939732,9.914939732038842e-08,0.20000019829879465,1.9829879464077684e-07,0.9048373999458644,3.866826495495148e-06,100,200,5
M/M/S,0.5,5.0,8,0.0125,True,0.10000000000000288,2.8766421044270726e-15,0.20000000000000576,5.753284208854145e-15,0.9048374180359593,2.2725472624973873e-13,100,200,5
M/M/1,0.5,10.0,1,0.05,True,0.052631578947368425,0.002631578947368422,0.10526315789473684,0.005263157894736842,0.95,0.05,100,200,10
M/M/S,0.5,10.0,1,0.05,True,0.052631578947368425,0.002631578947368422,0.10526315789473684,0.005263157894736842,0.95,0.05,100,200,10
M/M/S,0.5,10.0,2,0.025,True,0.050031269543464665,3.126954346466542e-05,0.10006253908692933,6.253908692933085e-05,0.9512195121951219,0.0012195121951219514,100,200,10
M/M/S,0.5,10.0,4,0.0125,True,0.05000000317533723,3.1753372319277103e-09,0.10000000635067446,6.3506744638554206e-09,0.9512294238941205,2.508516413222891e-07,100,200,10
M/M/S,0.5,10.0,8,0.00625,True,0.05000000000000001,5.832443241859777e-18,0.10000000000000002,1.1664886483719553e-17,0.9512294245007141,9.273584754557045e-16,100,200,10
M/M/1,10.0,1.0,1,10.0,False,inf,inf,inf,inf,0.0,1.0,500,50,1
M/M/S,10.0,1.0,1,10.0,False,inf,inf,inf,inf,0.0,1.0,500,50,1
M/M/S,10.0,1.0,2,5.0,False,inf,inf,inf,inf,0.0,1.0,500,50,1
M/M/S,10.0,1.0,4,2.5,False,inf,inf,inf,inf,0.0,1.0,500,50,1
M/M/S,10.0,1.0,8,1.25,False,inf,inf,inf,inf,0.0,1.0,500,50,1
M/M/1,10.0,5.0,1,2.0,False,inf,inf,inf,inf,0.0,1.0,500,50,5
M/M/S,10.0,5.0,1,2.0,False,inf,inf,inf,inf,0.0,1.0,500,50,5
M/M/S,10.0,5.0,2,1.0,False,inf,inf,inf,inf,0.0,1.0,500,50,5
M/M/S,10.0,5.0,4,0.5,True,2.173913043478261,0.17391304347826086,0.2173913043478261,0.017391304347826087,0.13043478260869565,0.17391304347826086,500,50,5
M/M/S,10.0,5.0,8,0.25,True,2.000381879803332,0.00038187980333190133,0.2000381879803332,3.818798033319013e-05,0.13532865530574253,0.001145639409995704,500,50,5
M/M/1,10.0,10.0,1,1.0,False,inf,inf,inf,inf,0.0,1.0,500,50,10
M/M/S,10.0,10.0,1,1.0,False,inf,inf,inf,inf,0.0,1.0,500,50,10
M/M/S,10.0,10.0,2,0.5,True,1.3333333333333333,0.3333333333333333,0.13333333333333333,0.03333333333333333,0.3333333333333333,0.3333333333333333,500,50,10
M/M/S,10.0,10.0,4,0.25,True,1.0068027210884354,0.006802721088435374,0.10068027210884355,0.0006802721088435374,0.3673469387755102,0.02040816326530612,500,50,10
M/M/S,10.0,10.0,8,0.125,True,1.0000014896314204,1.4896314204976263e-06,0.10000014896314205,1.4896314204976262e-07,0.3678793756060938,1.0427419943483384e-05,500,50,10
M/M/1,5.0,1.0,1,5.0,False,inf,inf,inf,inf,0.0,1.0,500,100,1
M/M/S,5.0,1.0,1,5.0,False,inf,inf,inf,inf,0.0,1.0,500,100,1
M/M/S,5.0,1.0,2,2.5,False,inf,inf,inf,inf,0.0,1.0,500,100,1
M/M/S,5.0,1.0,4,1.25,False,inf,inf,inf,inf,0.0,1.0,500,100,1
M/M/S,5.0,1.0,8,0.625,True,5.278777511102928,0.27877751110292776,1.0557555022205856,0.05575550222058555,0.006474418126657946,0.16726650666175663,500,100,1
M/M/1,5.0,5.0,1,1.0,False,inf,inf,inf,inf,0.0,1.0,500,100,5
M/M/S,5.0,5.0,1,1.0,False,inf,inf,inf,inf,0.0,1.0,500,100,5
M/M/S,5.0,5.0,2,0.5,True,1.3333333333333333,0.3333333333333333,0.26666666666666666,0.06666666666666667,0.3333333333333333,0.3333333333333333,500,100,5
M/M/S,5.0,5.0,4,0.25,True,1.0068027210884354,0.006802721088435374,0.2013605442176871,0.0013605442176870747,0.3673469387755102,0.02040816326530612,500,100,5
M/M/S,5.0,5.0,8,0.125,True,1.0000014896314204,1.4896314204976263e-06,0.2000002979262841,2.9792628409952525e-07,0.3678793756060938,1.0427419943483384e-05,500,100,5
M/M/1,5.0,10.0,1,0.5,True,1.0,0.5,0.2,0.1,0.5,0.5,500,100,10
M/M/S,5.0,10.0,1,0.5,True,1.0,0.5,0.2,0.1,0.5,0.5,500,100,10
M/M/S,5.0,10.0,2,0.25,True,0.5333333333333333,0.03333333333333333,0.10666666666666667,0.006666666666666666,0.6,0.09999999999999999,500,100,10
M/M/S,5.0,10.0,4,0.125,True,0.5002578648788035,0.00025786487880350697,0.10005157297576071,5.157297576070139e-05,0.6064981949458484,0.0018050541516245488,500,100,10
M/M/S,5.0,10.0,8,0.0625,True,0.5000000041785898,4.17858975019513e-09,0.10000000083571796,8.35717950039026e-10,0.6065306594203235,6.267884625292695e-08,500,100,10
M/M/1,2.5,1.0,1,2.5,False,inf,inf,inf,inf,0.0,1.0,500,200,1
M/M/S,2.5,1.0,1,2.5,False,inf,inf,inf,inf,0.0,1.0,500,200,1
M/M/S,2.5,1.0,2,1.25,False,inf,inf,inf,inf,0.0,1.0,500,200,1
M/M/S,2.5,1.0,4,0.625,True,3.0330945069942,0.5330945069942,1.21323780279768,0.21323780279768,0.07369498464687821,0.31985670419652,500,200,1
M/M/S,2.5,1.0,8,0.3125,True,2.5020532883695115,0.002053288369511315,1.0008213153478045,0.000821315347804526,0.08206269672736557,0.004517234412924893,500,200,1
M/M/1,2.5,5.0,1,0.5,True,1.0,0.5,0.4,0.2,0.5,0.5,500,200,5
M/M/S,2.5,5.0,1,0.5,True,1.0,0.5,0.4,0.2,0.5,0.5,500,200,5
M/M/S,2.5,5.0,2,0.25,True,0.5333333333333333,0.03333333333333333,0.21333333333333335,0.013333333333333332,0.6,0.09999999999999999,500,200,5
M/M/S,2.5,5.0,4,0.125,True,0.5002578648788035,0.00025786487880350697,0.20010314595152143,0.00010314595152140278,0.6064981949458484,0.0018050541516245488,500,200,5
M/M/S,2.5,5.0,8,0.0625,True,0.5000000041785898,4.17858975019513e-09,0.20000000167143592,1.671435900078052e-09,0.6065306594203235,6.267884625292695e-08,500,200,5
M/M/1,2.5,10.0,1,0.25,True,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.03333333333333333,0.75,0.25,500,200,10
M/M/S,2.5,10.0,1,0.25,True,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.03333333333333333,0.75,0.25,500,200,10
M/M/S,2.5,10.0,2,0.125,True,0.25396825396825395,0.003968253968253967,0.10158730158730159,0.0015873015873015869,0.7777777777777777,0.027777777777777773,500,200,10
M/M/S,2.5,10.0,4,0.0625,True,0.2500090138813773,9.013881377321075e-06,0.10000360555255093,3.60555255092843e-06,0.7787993510005409,0.00013520822065981613,500,200,10
M/M/S,2.5,10.0,8,0.03125,True,0.25000000000981415,9.814146037182816e-12,0.10000000000392567,3.925658414873127e-12,0.7788007830705396,3.042385271526673e-10,500,200,10
M/M/1,20.0,1.0,1,20.0,False,inf,inf,inf,inf,0.0,1.0,1000,50,1
M/M/S,20.0,1.0,1,20.0,False,inf,inf,inf,inf,0.0,1.0,1000,50,1
M/M/S,20.0,1.0,2,10.0,False,inf,inf,inf,inf,0.0,1.0,1000,50,1
M/M/S,20.0,1.0,4,5.0,False,inf,inf,inf,inf,0.0,1.0,1000,50,1
M/M/S,20.0,1.0,8,2.5,False,inf,inf,inf,inf,0.0,1.0,1000,50,1
M/M/1,20.0,5.0,1,4.0,False,inf,inf,inf,inf,0.0,1.0,1000,50,5
M/M/S,20.0,5.0,1,4.0,False,inf,inf,inf,inf,0.0,1.0,1000,50,5
M/M/S,20.0,5.0,2,2.0,False,inf,inf,inf,inf,0.0,1.0,1000,50,5
M/M/S,20.0,5.0,4,1.0,False,inf,inf,inf,inf,0.0,1.0,1000,50,5
M/M/S,20.0,5.0,8,0.5,True,4.059043994695266,0.059043994695266104,0.2029521997347633,0.0029521997347633053,0.01816294758692268,0.059043994695266104,1000,50,5
M/M/1,20.0,10.0,1,2.0,False,inf,inf,inf,inf,0.0,1.0,1000,50,10
M/M/S,20.0,10.0,1,2.0,False,inf,inf,inf,inf,0.0,1.0,1000,50,10
M/M/S,20.0,10.0,2,1.0,False,inf,inf,inf,inf,0.0,1.0,1000,50,10
M/M/S,20.0,10.0,4,0.5,True,2.173913043478261,0.17391304347826086,0.10869565217391305,0.008695652173913044,0.13043478260869565,0.17391304347826086,1000,50,10
M/M/S,20.0,10.0,8,0.25,True,2.000381879803332,0.00038187980333190133,0.1000190939901666,1.9093990166595067e-05,0.13532865530574253,0.001145639409995704,1000,50,10
M/M/1,10.0,1.0,1,10.0,False,inf,inf,inf,inf,0.0,1.0,1000,100,1
M/M/S,10.0,1.0,1,10.0,False,inf,inf,inf,inf,0.0,1.0,1000,100,1
M/M/S,10.0,1.0,2,5.0,False,inf,inf,inf,inf,0.0,1.0,1000,100,1
M/M/S,10.0,1.0,4,2.5,False,inf,inf,inf,inf,0.0,1.0,1000,100,1
M/M/S,10.0,1.0,8,1.25,False,inf,inf,inf,inf,0.0,1.0,1000,100,1
M/M/1,10.0,5.0,1,2.0,False,inf,inf,inf,inf,0.0,1.0,1000,100,5
M/M/S,10.0,5.0,1,2.0,False,inf,inf,inf,inf,0.0,1.0,1000,100,5
M/M/S,10.0,5.0,2,1.0,False,inf,inf,inf,inf,0.0,1.0,1000,100,5
M/M/S,10.0,5.0,4,0.5,True,2.173913043478261,0.17391304347826086,0.2173913043478261,0.017391304347826087,0.13043478260869565,0.17391304347826086,1000,100,5
M/M/S,10.0,5.0,8,0.25,True,2.000381879803332,0.00038187980333190133,0.2000381879803332,3.818798033319013e-05,0.13532865530574253,0.001145639409995704,1000,100,5
M/M/1,10.0,10.0,1,1.0,False,inf,inf,inf,inf,0.0,1.0,1000,100,10
M/M/S,10.0,10.0,1,1.0,False,inf,inf,inf,inf,0.0,1.0,1000,100,10
M/M/S,10.0,10.0,2,0.5,True,1.3333333333333333,0.3333333333333333,0.13333333333333333,0.03333333333333333,0.3333333333333333,0.3333333333333333,1000,100,10
M/M/S,10.0,10.0,4,0.25,True,1.0068027210884354,0.006802721088435374,0.10068027210884355,0.0006802721088435374,0.3673469387755102,0.02040816326530612,1000,100,10
M/M/S,10.0,10.0,8,0.125,True,1.0000014896314204,1.4896314204976263e-06,0.10000014896314205,1.4896314204976262e-07,0.3678793756060938,1.0427419943483384e-05,1000,100,10
M/M/1,5.0,1.0,1,5.0,False,inf,inf,inf,inf,0.0,1.0,1000,200,1
M/M/S,5.0,1.0,1,5.0,False,inf,inf,inf,inf,0.0,1.0,1000,200,1
M/M/S,5.0,1.0,2,2.5,False,inf,inf,inf,inf,0.0,1.0,1000,200,1
M/M/S,5.0,1.0,4,1.25,False,inf,inf,inf,inf,0.0,1.0,1000,200,1
M/M/S,5.0,1.0,8,0.625,True,5.278777511102928,0.27877751110292776,1.0557555022205856,0.05575550222058555,0.006474418126657946,0.16726650666175663,1000,200,1
M/M/1,5.0,5.0,1,1.0,False,inf,inf,inf,inf,0.0,1.0,1000,200,5
M/M/S,5.0,5.0,1,1.0,False,inf,inf,inf,inf,0.0,1.0,1000,200,5
M/M/S,5.0,5.0,2,0.5,True,1.3333333333333333,0.3333333333333333,0.26666666666666666,0.06666666666666667,0.3333333333333333,0.3333333333333333,1000,200,5
M/M/S,5.0,5.0,4,0.25,True,1.0068027210884354,0.006802721088435374,0.2013605442176871,0.0013605442176870747,0.3673469387755102,0.02040816326530612,1000,200,5
M/M/S,5.0,5.0,8,0.125,True,1.0000014896314204,1.4896314204976263e-06,0.2000002979262841,2.9792628409952525e-07,0.3678793756060938,1.0427419943483384e-05,1000,200,5
M/M/1,5.0,10.0,1,0.5,True,1.0,0.5,0.2,0.1,0.5,0.5,1000,200,10
M/M/S,5.0,10.0,1,0.5,True,1.0,0.5,0.2,0.1,0.5,0.5,1000,200,10
M/M/S,5.0,10.0,2,0.25,True,0.5333333333333333,0.03333333333333333,0.10666666666666667,0.006666666666666666,0.6,0.09999999999999999,1000,200,10
M/M/S,5.0,10.0,4,0.125,True,0.5002578648788035,0.00025786487880350697,0.10005157297576071,5.157297576070139e-05,0.6064981949458484,0.0018050541516245488,1000,200,10
M/M/S,5.0,10.0,8,0.0625,True,0.5000000041785898,4.17858975019513e-09,0.10000000083571796,8.35717950039026e-10,0.6065306594203235,6.267884625292695e-08,1000,200,10
