model,servers,lambda,mu,rho,arrival_dist,service_dist,n_measured,L,Lq,W,Wq,server_utilization,N,M,R
M/M/1,1,2.0,5.0,0.4,uniform,uniform,95000,0.48071561380403005,0.08057631122023792,0.2404988358922038,0.04031179452568196,0.4001393025837836,100,50,5
M/M/1,1,2.0,5.0,0.4,exponential,exponential,95000,0.6691555701192858,0.2682039345577222,0.33459760146401507,0.1341099098827319,0.40095163556154945,100,50,5
M/M/1,1,2.0,5.0,0.4,poisson,poisson,95000,1.579611527766074,1.1810693519844948,0.7892736842105263,0.5901368421052632,0.3985421757815792,100,50,5
M/M/2,2,2.0,5.0,0.2,uniform,uniform,95000,0.40435723436903953,0.003754388939045711,0.20223979288599359,0.0018777624756259493,0.2003014227149907,100,50,5
M/M/2,2,2.0,5.0,0.2,exponential,exponential,95000,0.4166570308462085,0.016919675059696316,0.20857003480050595,0.008469645187186755,0.19986867789325363,100,50,5
M/M/2,2,2.0,5.0,0.2,poisson,poisson,95000,0.545389594015298,0.14602420778347483,0.2732,0.07314736842105263,0.19968269311591158,100,50,5
M/M/4,4,2.0,5.0,0.1,uniform,uniform,95000,0.3989797044923245,6.496839885444225e-06,0.20019165820594828,3.259847894821034e-06,0.09974330191310418,100,50,5
M/M/4,4,2.0,5.0,0.1,exponential,exponential,95000,0.39855192498445047,8.136140277596436e-05,0.2000076459676375,4.0830069112024304e-05,0.09961764089542258,100,50,5
M/M/4,4,2.0,5.0,0.1,poisson,poisson,95000,0.40456924273313855,0.0050862775594274785,0.20262105263157895,0.0025473684210526315,0.09987074129342777,100,50,5
M/M/8,8,2.0,5.0,0.05,uniform,uniform,95000,0.39931328623315093,0.0,0.19955171394707374,0.0,0.04991416077914437,100,50,5
M/M/8,8,2.0,5.0,0.05,exponential,exponential,95000,0.4009131913591124,0.0,0.1998247705351308,0.0,0.050114148919887996,100,50,5
M/M/8,8,2.0,5.0,0.05,poisson,poisson,95000,0.39550042052144657,0.0,0.198,0.0,0.04943755256518082,100,50,5
M/M/1,1,2.0,10.0,0.2,uniform,uniform,95000,0.21572948393080169,0.015659707237266108,0.10792796352691099,0.007834442843648997,0.2000697766935292,100,50,10
M/M/1,1,2.0,10.0,0.2,exponential,exponential,95000,0.25086670583300935,0.05039081998553521,0.12544073950451226,0.025196893713875037,0.20047588584747583,100,50,10
M/M/1,1,2.0,10.0,0.2,poisson,poisson,95000,0.6181071691757027,0.41711759132540266,0.309021052631579,0.20853684210526316,0.20098957785030003,100,50,10
M/M/2,2,2.0,10.0,0.1,uniform,uniform,95000,0.2007307086409547,0.00042898579701144827,0.1003955726839847,0.0002145574788025873,0.10015086142197023,100,50,10
M/M/2,2,2.0,10.0,0.1,exponential,exponential,95000,0.20203949477408747,0.0021706319467740807,0.10113676800298604,0.0010865731963259494,0.09993443141365498,100,50,10
M/M/2,2,2.0,10.0,0.1,poisson,poisson,95000,0.23492924577892724,0.03635484345760003,0.11761052631578947,0.0182,0.0992872011606636,100,50,10
M/M/4,4,2.0,10.0,0.05,uniform,uniform,95000,0.19948726639115366,0.0,0.10009419917902096,0.0,0.04987181659778849,100,50,10
M/M/4,4,2.0,10.0,0.05,exponential,exponential,95000,0.19924139695622334,5.4597730024508315e-06,0.09998614785010744,2.739900838835303e-06,0.04980898429580427,100,50,10
M/M/4,4,2.0,10.0,0.05,poisson,poisson,95000,0.1998403797282255,0.0005040640161300485,0.1001578947368421,0.0002526315789473684,0.049834078928023856,100,50,10
M/M/8,8,2.0,10.0,0.025,uniform,uniform,95000,0.19965667392429856,0.0,0.09977585697354002,0.0,0.024957084240536782,100,50,10
M/M/8,8,2.0,10.0,0.025,exponential,exponential,95000,0.20045661147697438,0.0,0.09991238526755758,0.0,0.025057076434623234,100,50,10
M/M/8,8,2.0,10.0,0.025,poisson,poisson,95000,0.19875409143701828,0.0,0.09907368421052631,0.0,0.024844261429627285,100,50,10
M/M/1,1,1.0,5.0,0.2,uniform,uniform,95000,0.21572948393080169,0.015659707237266108,0.21585592705382198,0.015668885687297993,0.2000697766935292,100,100,5
M/M/1,1,1.0,5.0,0.2,exponential,exponential,95000,0.25086670583300935,0.05039081998553521,0.2508814790090245,0.050393787427750074,0.20047588584747583,100,100,5
M/M/1,1,1.0,5.0,0.2,poisson,poisson,95000,0.3641553954409472,0.16512872371802975,0.36389473684210527,0.16501052631578947,0.19902667172291746,100,100,5
M/M/2,2,1.0,5.0,0.1,uniform,uniform,95000,0.2007307086409547,0.00042898579701144827,0.2007911453679694,0.0004291149576051746,0.10015086142197023,100,100,5
M/M/2,2,1.0,5.0,0.1,exponential,exponential,95000,0.20203949477408747,0.0021706319467740807,0.2022735360059721,0.0021731463926518988,0.09993443141365498,100,100,5
M/M/2,2,1.0,5.0,0.1,poisson,poisson,95000,0.2130557426743011,0.012767345907713034,0.2130736842105263,0.012768421052631578,0.10014419838329404,100,100,5
M/M/4,4,1.0,5.0,0.05,uniform,uniform,95000,0.19948726639115366,0.0,0.20018839835804192,0.0,0.04987181659778849,100,100,5
M/M/4,4,1.0,5.0,0.05,exponential,exponential,95000,0.19924139695622334,5.4597730024508315e-06,0.19997229570021488,5.479801677670606e-06,0.04980898429580427,100,100,5
M/M/4,4,1.0,5.0,0.05,poisson,poisson,95000,0.19969523409174506,7.356418475119542e-05,0.20002105263157896,7.368421052631579e-05,0.04990541747674846,100,100,5
M/M/8,8,1.0,5.0,0.025,uniform,uniform,95000,0.19965667392429856,0.0,0.19955171394708004,0.0,0.024957084240536782,100,100,5
M/M/8,8,1.0,5.0,0.025,exponential,exponential,95000,0.20045661147697438,0.0,0.19982477053511516,0.0,0.025057076434623234,100,100,5
M/M/8,8,1.0,5.0,0.025,poisson,poisson,95000,0.19627731773272025,0.0,0.1963578947368421,0.0,0.02453466471659003,100,100,5
M/M/1,1,1.0,10.0,0.1,uniform,uniform,95000,0.10356306990380051,0.0035281502065896376,0.10362373769894297,0.003530217015676738,0.10003491969720346,100,100,10
M/M/1,1,1.0,10.0,0.1,exponential,exponential,95000,0.11148075210879439,0.011242792168377843,0.1114872981219943,0.01124345233136155,0.10023795994042184,100,100,10
M/M/1,1,1.0,10.0,0.1,poisson,poisson,95000,0.16753772232993341,0.06821630279018798,0.16736842105263158,0.06814736842105264,0.09932141953974542,100,100,10
M/M/2,2,1.0,10.0,0.05,uniform,uniform,95000,0.10020111884069291,5.018238630322822e-05,0.10023121266298388,5.019745778978464e-05,0.050075468227188155,100,100,10
M/M/2,2,1.0,10.0,0.05,exponential,exponential,95000,0.10020672639285458,0.0002722487456209431,0.10032275879735071,0.0002725639906919337,0.049967238823616617,100,100,10
M/M/2,2,1.0,10.0,0.05,poisson,poisson,95000,0.10312808554442134,0.00319321022667591,0.10334736842105263,0.0032,0.04996743765887271,100,100,10
M/M/4,4,1.0,10.0,0.025,uniform,uniform,95000,0.09974379883765871,0.0,0.10009419917904128,0.0,0.024935949709409655,100,100,10
M/M/4,4,1.0,10.0,0.025,exponential,exponential,95000,0.09961813244051812,0.0,0.09998340794927485,0.0,0.0249045331101275,100,100,10
M/M/4,4,1.0,10.0,0.025,poisson,poisson,95000,0.10186939497284325,0.0,0.10187368421052631,0.0,0.025467348743210813,100,100,10
M/M/8,8,1.0,10.0,0.0125,uniform,uniform,95000,0.09982834466407299,0.0,0.09977585697353278,0.0,0.012478543083009762,100,100,10
M/M/8,8,1.0,10.0,0.0125,exponential,exponential,95000,0.10022830968786306,0.0,0.09991238526757444,0.0,0.012528538710981486,100,100,10
M/M/8,8,1.0,10.0,0.0125,poisson,poisson,95000,0.09861879033783925,0.0,0.0987578947368421,0.0,0.012327348792229907,100,100,10
M/M/1,1,0.5,1.0,0.5,uniform,uniform,95000,0.6490604164268075,0.14888644494896622,1.298882907168248,0.2979477003356375,0.5001739714778356,100,200,1
M/M/1,1,0.5,1.0,0.5,exponential,exponential,95000,1.0010647895985,0.4998753302299062,2.0022485014224114,0.999810043516051,0.5011894593686077,100,200,1
M/M/1,1,0.5,1.0,0.5,poisson,poisson,95000,0.8213079067904261,0.32218023117914013,1.640221052631579,0.6434210526315789,0.4991276756112859,100,200,1
M/M/2,2,0.5,1.0,0.25,uniform,uniform,95000,0.508316751952081,0.00756357032494709,1.0169418812455582,0.015131729193748604,0.25037659081356856,100,200,1
M/M/2,2,0.5,1.0,0.25,exponential,exponential,95000,0.5330779461534002,0.03340648258749388,1.067392401782588,0.06689045371596049,0.2498357317829427,100,200,1
M/M/2,2,0.5,1.0,0.25,poisson,poisson,95000,0.5169641497445269,0.018059034505936534,1.0362736842105262,0.0362,0.2494525576192952,100,200,1
M/M/4,4,0.5,1.0,0.125,uniform,uniform,95000,0.4987342157659253,1.853440245006255e-05,1.0009791910650856,3.719927485393495e-05,0.12467892034086882,100,200,1
M/M/4,4,0.5,1.0,0.125,exponential,exponential,95000,0.49834300708746565,0.0002556218467925512,1.0003472011685859,0.000513121675953593,0.12452184631017194,100,200,1
M/M/4,4,0.5,1.0,0.125,poisson,poisson,95000,0.5004416032300122,8.937208226437314e-05,1.002021052631579,0.00017894736842105264,0.12508805778693696,100,200,1
M/M/8,8,0.5,1.0,0.0625,uniform,uniform,95000,0.4991415692817996,0.0,0.9977585697353646,0.0,0.06239269616022574,100,200,1
M/M/8,8,0.5,1.0,0.0625,exponential,exponential,95000,0.5011414694520839,0.0,0.9991238526756211,0.0,0.06264268368151167,100,200,1
M/M/8,8,0.5,1.0,0.0625,poisson,poisson,95000,0.49951993078562534,0.0,0.9967052631578948,0.0,0.06243999134820317,100,200,1
M/M/1,1,0.5,5.0,0.1,uniform,uniform,95000,0.10356306990380051,0.0035281502065896376,0.20724747539788593,0.007060434031353476,0.10003491969720346,100,200,5
M/M/1,1,0.5,5.0,0.1,exponential,exponential,95000,0.11148075210879439,0.011242792168377843,0.2229745962439886,0.0224869046627231,0.10023795994042184,100,200,5
M/M/1,1,0.5,5.0,0.1,poisson,poisson,95000,0.12165338561430138,0.02139725103297074,0.24297894736842104,0.042736842105263156,0.10025613458133063,100,200,5
M/M/2,2,0.5,5.0,0.05,uniform,uniform,95000,0.10020111884069291,5.018238630322822e-05,0.20046242532596775,0.00010039491557956927,0.050075468227188155,100,200,5
M/M/2,2,0.5,5.0,0.05,exponential,exponential,95000,0.10020672639285458,0.0002722487456209431,0.20064551759470142,0.0005451279813838674,0.049967238823616617,100,200,5
M/M/2,2,0.5,5.0,0.05,poisson,poisson,95000,0.09990364516146016,0.0004633456716669387,0.1997263157894737,0.0009263157894736842,0.049720149744896615,100,200,5
M/M/4,4,0.5,5.0,0.025,uniform,uniform,95000,0.09974379883765871,0.0,0.20018839835808255,0.0,0.024935949709409655,100,200,5
M/M/4,4,0.5,5.0,0.025,exponential,exponential,95000,0.09961813244051812,0.0,0.1999668158985497,0.0,0.0249045331101275,100,200,5
M/M/4,4,0.5,5.0,0.025,poisson,poisson,95000,0.09968726183280334,0.0,0.1996421052631579,0.0,0.024921815458200835,100,200,5
M/M/8,8,0.5,5.0,0.0125,uniform,uniform,95000,0.09982834466407299,0.0,0.19955171394706556,0.0,0.012478543083009762,100,200,5
M/M/8,8,0.5,5.0,0.0125,exponential,exponential,95000,0.10022830968786306,0.0,0.19982477053514888,0.0,0.012528538710981486,100,200,5
M/M/8,8,0.5,5.0,0.0125,poisson,poisson,95000,0.09972280191403697,0.0,0.19918947368421053,0.0,0.012465350239254621,100,200,5
M/M/1,1,0.5,10.0,0.05,uniform,uniform,95000,0.05086816844196549,0.0008507007557410672,0.10179591861801932,0.0017023979347419013,0.05001746768621512,100,200,10
M/M/1,1,0.5,10.0,0.05,exponential,exponential,95000,0.05276147792768727,0.002642493703320388,0.10552914307660928,0.005285297286003448,0.05011898422438298,100,200,10
M/M/1,1,0.5,10.0,0.05,poisson,poisson,95000,0.05939054726368159,0.009164980183826629,0.11862105263157895,0.018305263157894738,0.05022556707985496,100,200,10
M/M/2,2,0.5,10.0,0.025,uniform,uniform,95000,0.0500811206368491,5.633651538628388e-06,0.10019228588799184,1.1270682811683448e-05,0.025037743492655383,100,200,10
M/M/2,2,0.5,10.0,0.025,exponential,exponential,95000,0.049999618848651825,3.236846663811923e-05,0.10011500668578774,6.481187914038233e-05,0.0249836251910096,100,200,10
M/M/2,2,0.5,10.0,0.025,poisson,poisson,95000,0.04998525198044834,0.00011061014663745154,0.09989473684210526,0.00022105263157894738,0.024937320916905443,100,200,10
M/M/4,4,0.5,10.0,0.0125,uniform,uniform,95000,0.049871940829449686,0.0,0.10009419917904484,0.0,0.012467985207359467,100,200,10
M/M/4,4,0.5,10.0,0.0125,exponential,exponential,95000,0.04980910718256166,0.0,0.09998340794922703,0.0,0.012452276795645357,100,200,10
M/M/4,4,0.5,10.0,0.0125,poisson,poisson,95000,0.05093451802003102,0.0,0.10197894736842106,0.0,0.012733629505007754,100,200,10
M/M/8,8,0.5,10.0,0.00625,uniform,uniform,95000,0.049914174257514925,0.0,0.09977585697352372,0.0,0.006239271782190251,100,200,10
M/M/8,8,0.5,10.0,0.00625,exponential,exponential,95000,0.05011415583125734,0.0,0.09991238526754659,0.0,0.006264269478908216,100,200,10
M/M/8,8,0.5,10.0,0.00625,poisson,poisson,95000,0.050180533958832985,0.0,0.10021052631578947,0.0,0.006272566744854123,100,200,10
M/M/1,1,5.0,10.0,0.5,uniform,uniform,95000,0.6490604164267877,0.14888644494894188,0.1298882907168201,0.029794770033558713,0.5001739714778329,500,100,10
M/M/1,1,5.0,10.0,0.5,exponential,exponential,95000,1.0010647895985996,0.4998753302299831,0.20022485014226085,0.09998100435162038,0.5011894593686043,500,100,10
M/M/1,1,5.0,10.0,0.5,poisson,poisson,95000,5.478260869565218,4.972144256738866,1.0889052631578948,0.9883052631578947,0.5061166128263518,500,100,10
M/M/2,2,5.0,10.0,0.25,uniform,uniform,95000,0.5083167519520925,0.007563570324943548,0.10169418812455754,0.0015131729193741433,0.2503765908135678,500,100,10
M/M/2,2,5.0,10.0,0.25,exponential,exponential,95000,0.5330779461533862,0.03340648258748594,0.10673924017825656,0.006689045371594496,0.24983573178294088,500,100,10
M/M/2,2,5.0,10.0,0.25,poisson,poisson,95000,1.1835883905013194,0.6783641160949868,0.23609473684210527,0.13531578947368422,0.2526121372031662,500,100,10
M/M/4,4,5.0,10.0,0.125,uniform,uniform,95000,0.4987342157659225,1.8534402449692823e-05,0.10009791910650827,3.7199274853192995e-06,0.1246789203408659,500,100,10
M/M/4,4,5.0,10.0,0.125,exponential,exponential,95000,0.4983430070874641,0.00025562184679454755,0.1000347201168581,5.1312167595759955e-05,0.12452184631017281,500,100,10
M/M/4,4,5.0,10.0,0.125,poisson,poisson,95000,0.5565300084530854,0.047337278106508875,0.1108842105263158,0.009431578947368421,0.12729818258664413,500,100,10
M/M/8,8,5.0,10.0,0.0625,uniform,uniform,95000,0.49914156928180553,0.0,0.09977585697353836,0.0,0.062392696160225386,500,100,10
M/M/8,8,5.0,10.0,0.0625,exponential,exponential,95000,0.5011414694520774,0.0,0.09991238526756292,0.0,0.06264268368150991,500,100,10
M/M/8,8,5.0,10.0,0.0625,poisson,poisson,95000,0.502465143402428,5.3013836611355566e-05,0.09976842105263158,1.0526315789473684e-05,0.06280151619572709,500,100,10
M/M/1,1,2.5,5.0,0.5,uniform,uniform,95000,0.6490604164267877,0.14888644494894188,0.2597765814336402,0.059589540067117426,0.5001739714778329,500,200,5
M/M/1,1,2.5,5.0,0.5,exponential,exponential,95000,1.0010647895985996,0.4998753302299831,0.4004497002845217,0.19996200870324077,0.5011894593686043,500,200,5
M/M/1,1,2.5,5.0,0.5,poisson,poisson,95000,2.7525198031527145,2.2570593962999026,1.100978947368421,0.9028,0.4954604068528119,500,200,5
M/M/2,2,2.5,5.0,0.25,uniform,uniform,95000,0.5083167519520925,0.007563570324943548,0.20338837624911507,0.0030263458387482867,0.2503765908135678,500,200,5
M/M/2,2,2.5,5.0,0.25,exponential,exponential,95000,0.5330779461533862,0.03340648258748594,0.21347848035651312,0.013378090743188992,0.24983573178294088,500,200,5
M/M/2,2,2.5,5.0,0.25,poisson,poisson,95000,0.7916360004205657,0.29439596256965617,0.3170210526315789,0.11789473684210526,0.24862001892545474,500,200,5
M/M/4,4,2.5,5.0,0.125,uniform,uniform,95000,0.4987342157659225,1.8534402449692823e-05,0.20019583821301654,7.439854970638599e-06,0.1246789203408659,500,200,5
M/M/4,4,2.5,5.0,0.125,exponential,exponential,95000,0.4983430070874641,0.00025562184679454755,0.2000694402337162,0.00010262433519151991,0.12452184631017281,500,200,5
M/M/4,4,2.5,5.0,0.125,poisson,poisson,95000,0.516600894501447,0.0163114969744804,0.20669473684210526,0.006526315789473684,0.12507234938174164,500,200,5
M/M/8,8,2.5,5.0,0.0625,uniform,uniform,95000,0.49914156928180553,0.0,0.19955171394707671,0.0,0.062392696160225386,500,200,5
M/M/8,8,2.5,5.0,0.0625,exponential,exponential,95000,0.5011414694520774,0.0,0.19982477053512585,0.0,0.06264268368150991,500,200,5
M/M/8,8,2.5,5.0,0.0625,poisson,poisson,95000,0.49940556392169294,7.925814377427281e-05,0.19897894736842106,3.157894736842105e-05,0.06241578822223984,500,200,5
M/M/1,1,2.5,10.0,0.25,uniform,uniform,95000,0.275985540079771,0.02589835840088444,0.11045893747455304,0.010365416791292761,0.2500871816788829,500,200,10
M/M/1,1,2.5,10.0,0.25,exponential,exponential,95000,0.33485456228644606,0.08425972624794878,0.13394972392399035,0.033705878133351595,0.25059483603849547,500,200,10
M/M/1,1,2.5,10.0,0.25,poisson,poisson,95000,0.9679939384438522,0.7182421487171448,0.38998947368421055,0.28936842105263155,0.24975178972670742,500,200,10
M/M/2,2,2.5,10.0,0.125,uniform,uniform,95000,0.25123695980496846,0.0008599000404468855,0.10052507891096771,0.0003440637057882357,0.12518852988226237,500,200,10
M/M/2,2,2.5,10.0,0.125,exponential,exponential,95000,0.2540426024248675,0.004206581682666904,0.10173477702010526,0.0016845822134480123,0.12491801037110169,500,200,10
M/M/2,2,2.5,10.0,0.125,poisson,poisson,95000,0.32211841276506403,0.07497900482888936,0.1292,0.030073684210526315,0.12356970396808734,500,200,10
M/M/4,4,2.5,10.0,0.0625,uniform,uniform,95000,0.24935904929291744,1.7335603391180637e-07,0.1000942687652094,6.958618706496629e-08,0.06233971898422013,500,200,10
M/M/4,4,2.5,10.0,0.0625,exponential,exponential,95000,0.2490555111434689,1.0794475077322846e-05,0.09998774158227373,4.333633010537596e-06,0.06226117916710008,500,200,10
M/M/4,4,2.5,10.0,0.0625,poisson,poisson,95000,0.25003943839722353,0.001656412683388547,0.10010526315789474,0.0006631578947368421,0.06209575642845875,500,200,10
M/M/8,8,2.5,10.0,0.03125,uniform,uniform,95000,0.24957083277795383,0.0,0.09977585697353804,0.0,0.03119635409724418,500,200,10
M/M/8,8,2.5,10.0,0.03125,exponential,exponential,95000,0.25057075940954143,0.0,0.09991238526756842,0.0,0.03132134492619108,500,200,10
M/M/8,8,2.5,10.0,0.03125,poisson,poisson,95000,0.254730790727384,0.0,0.10074736842105263,0.0,0.031841348840923,500,200,10
M/M/1,1,5.0,10.0,0.5,uniform,uniform,95000,0.6490604164267877,0.14888644494894188,0.1298882907168201,0.029794770033558713,0.5001739714778329,1000,200,10
M/M/1,1,5.0,10.0,0.5,exponential,exponential,95000,1.0010647895985996,0.4998753302299831,0.20022485014226085,0.09998100435162038,0.5011894593686043,1000,200,10
M/M/1,1,5.0,10.0,0.5,poisson,poisson,95000,5.478260869565218,4.972144256738866,1.0889052631578948,0.9883052631578947,0.5061166128263518,1000,200,10
M/M/2,2,5.0,10.0,0.25,uniform,uniform,95000,0.5083167519520925,0.007563570324943548,0.10169418812455754,0.0015131729193741433,0.2503765908135678,1000,200,10
M/M/2,2,5.0,10.0,0.25,exponential,exponential,95000,0.5330779461533862,0.03340648258748594,0.10673924017825656,0.006689045371594496,0.24983573178294088,1000,200,10
M/M/2,2,5.0,10.0,0.25,poisson,poisson,95000,1.1835883905013194,0.6783641160949868,0.23609473684210527,0.13531578947368422,0.2526121372031662,1000,200,10
M/M/4,4,5.0,10.0,0.125,uniform,uniform,95000,0.4987342157659225,1.8534402449692823e-05,0.10009791910650827,3.7199274853192995e-06,0.1246789203408659,1000,200,10
M/M/4,4,5.0,10.0,0.125,exponential,exponential,95000,0.4983430070874641,0.00025562184679454755,0.1000347201168581,5.1312167595759955e-05,0.12452184631017281,1000,200,10
M/M/4,4,5.0,10.0,0.125,poisson,poisson,95000,0.5565300084530854,0.047337278106508875,0.1108842105263158,0.009431578947368421,0.12729818258664413,1000,200,10
M/M/8,8,5.0,10.0,0.0625,uniform,uniform,95000,0.49914156928180553,0.0,0.09977585697353836,0.0,0.062392696160225386,1000,200,10
M/M/8,8,5.0,10.0,0.0625,exponential,exponential,95000,0.5011414694520774,0.0,0.09991238526756292,0.0,0.06264268368150991,1000,200,10
M/M/8,8,5.0,10.0,0.0625,poisson,poisson,95000,0.502465143402428,5.3013836611355566e-05,0.09976842105263158,1.0526315789473684e-05,0.06280151619572709,1000,200,10
